Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
320.000000	0.00154741	320.000000	0.00178345	320.000000	0.00177228	320.000000	0.00176927	320.000000	0.00178293	320.000000	5.22176e-07	
330.000000	0.00152204	330.000000	0.00175435	330.000000	0.00174316	330.000000	0.00174023	330.000000	0.00175384	330.000000	5.07497e-07	
340.000000	0.00149812	340.000000	0.00172695	340.000000	0.00171581	340.000000	0.00171291	340.000000	0.00172645	340.000000	4.93649e-07	
350.000000	0.00147552	350.000000	0.0017011	350.000000	0.00169013	350.000000	0.00168715	350.000000	0.00170062	350.000000	4.80562e-07	
360.000000	0.00145414	360.000000	0.00167669	360.000000	0.00166584	360.000000	0.00166285	360.000000	0.00167622	360.000000	4.68173e-07	
370.000000	0.00143388	370.000000	0.0016536	370.000000	0.00164267	370.000000	0.00163974	370.000000	0.00165314	370.000000	4.56429e-07	
380.000000	0.00141466	380.000000	0.00163173	380.000000	0.00162075	380.000000	0.00161787	380.000000	0.00163128	380.000000	4.4528e-07	
390.000000	0.00139641	390.000000	0.00161098	390.000000	0.00159998	390.000000	0.00159713	390.000000	0.00161054	390.000000	4.3468e-07	
400.000000	0.00137905	400.000000	0.00159127	400.000000	0.00158024	400.000000	0.00157746	400.000000	0.00159085	400.000000	4.2459e-07	
410.000000	0.00136253	410.000000	0.00157254	410.000000	0.00156152	410.000000	0.00155876	410.000000	0.00157213	410.000000	4.14974e-07	
420.000000	0.00134678	420.000000	0.00155471	420.000000	0.00154378	420.000000	0.00154098	420.000000	0.00155431	420.000000	4.05798e-07	
430.000000	0.00133175	430.000000	0.00153773	430.000000	0.0015269	430.000000	0.00152405	430.000000	0.00153733	430.000000	3.97033e-07	
440.000000	0.0013174	440.000000	0.00152153	440.000000	0.00151075	440.000000	0.00150791	440.000000	0.00152114	440.000000	3.88651e-07	
