Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
21.000000	0.0047751 	21.000000	0.0046425 	21.000000	0.00457682	21.000000	0.00457637	21.000000	0.00464041	21.000000	2.09218e-06	
22.000000	0.00459676	22.000000	0.00447338	22.000000	0.004404  	22.000000	0.00440357	22.000000	0.00447137	22.000000	2.00664e-06	
23.000000	0.00443269	23.000000	0.00431736	23.000000	0.00424435	23.000000	0.00424391	23.000000	0.00431543	23.000000	1.92812e-06	
24.000000	0.00428122	24.000000	0.00417296	24.000000	0.00409652	24.000000	0.0040959 	24.000000	0.0041711 	24.000000	1.8558e-06	
25.000000	0.00414091	25.000000	0.00403891	25.000000	0.0039592 	25.000000	0.00395829	25.000000	0.00403712	25.000000	1.78894e-06	
27.000000	0.00388913	27.000000	0.00379765	27.000000	0.00371124	27.000000	0.00371011	27.000000	0.00379598	27.000000	1.6693e-06	
29.000000	0.0036695 	29.000000	0.00358651	29.000000	0.00349346	29.000000	0.00349235	29.000000	0.00358495	29.000000	1.56531e-06	
31.000000	0.00347614	31.000000	0.00340012	31.000000	0.00330802	31.000000	0.00330689	31.000000	0.00339864	31.000000	1.47404e-06	
33.000000	0.00330451	33.000000	0.0032343 	33.000000	0.00314956	33.000000	0.0031485 	33.000000	0.00323291	33.000000	1.39326e-06	
35.000000	0.00315109	35.000000	0.00308579	35.000000	0.00300743	35.000000	0.00300648	35.000000	0.00308447	35.000000	1.32124e-06	
38.000000	0.00294911	38.000000	0.00288992	38.000000	0.00282018	38.000000	0.0028189 	38.000000	0.00288869	38.000000	1.22671e-06	
41.000000	0.00277465	41.000000	0.00272042	41.000000	0.00265762	41.000000	0.00265631	41.000000	0.00271927	41.000000	1.14532e-06	
44.000000	0.00262234	44.000000	0.00257225	44.000000	0.00251513	44.000000	0.00251393	44.000000	0.00257117	44.000000	1.07448e-06	
47.000000	0.00248813	47.000000	0.00244156	47.000000	0.00238929	47.000000	0.00238815	47.000000	0.00244055	47.000000	1.01224e-06	
50.000000	0.00236894	50.000000	0.00232541	50.000000	0.00227725	50.000000	0.00227618	50.000000	0.00232446	50.000000	9.57094e-07	
55.000000	0.00219724	55.000000	0.00215802	55.000000	0.00211549	55.000000	0.0021145 	55.000000	0.00215714	55.000000	8.77914e-07	
60.000000	0.00205227	60.000000	0.00201665	60.000000	0.00197862	60.000000	0.00197764	60.000000	0.00201584	60.000000	8.11306e-07	
65.000000	0.00192814	65.000000	0.00189562	65.000000	0.00186137	65.000000	0.00186021	65.000000	0.00189486	65.000000	7.5446e-07	
