Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
260.000000	0.00336278	260.000000	0.00327512	260.000000	0.00324089	260.000000	0.00323514	260.000000	0.00327417	260.000000	9.5229e-07	
270.000000	0.00329025	270.000000	0.00320538	270.000000	0.00317126	270.000000	0.00316566	270.000000	0.00320446	270.000000	9.19766e-07	
280.000000	0.00322267	280.000000	0.00314051	280.000000	0.00310653	280.000000	0.00310107	280.000000	0.00313962	280.000000	8.8947e-07	
290.000000	0.00315954	290.000000	0.00308003	290.000000	0.0030465	290.000000	0.00304087	290.000000	0.00307917	290.000000	8.61176e-07	
300.000000	0.00310044	300.000000	0.0030235	300.000000	0.00299029	300.000000	0.00298465	300.000000	0.00302267	300.000000	8.34691e-07	
310.000000	0.00304501	310.000000	0.00297057	310.000000	0.00293751	310.000000	0.00293202	310.000000	0.00296976	310.000000	8.09844e-07	
320.000000	0.00299291	320.000000	0.0029209	320.000000	0.00288805	320.000000	0.00288267	320.000000	0.00292011	320.000000	7.86486e-07	
330.000000	0.00294385	330.000000	0.00287421	330.000000	0.00284155	330.000000	0.00283631	330.000000	0.00287344	330.000000	7.64486e-07	
340.000000	0.00289758	340.000000	0.00283023	340.000000	0.00279787	340.000000	0.00279268	340.000000	0.00282949	340.000000	7.43726e-07	
350.000000	0.00285387	350.000000	0.00278876	350.000000	0.00275688	350.000000	0.00275155	350.000000	0.00278804	350.000000	7.24105e-07	
360.000000	0.00281251	360.000000	0.00274958	360.000000	0.0027181	360.000000	0.00271273	360.000000	0.00274888	360.000000	7.05528e-07	
370.000000	0.00277333	370.000000	0.00271252	370.000000	0.00268129	370.000000	0.00267603	370.000000	0.00271183	370.000000	6.87915e-07	
380.000000	0.00273616	380.000000	0.00267741	380.000000	0.00264645	380.000000	0.00264129	380.000000	0.00267674	380.000000	6.71191e-07	
390.000000	0.00270086	390.000000	0.00264411	390.000000	0.00261345	390.000000	0.00260836	390.000000	0.00264346	390.000000	6.5529e-07	
400.000000	0.00266729	400.000000	0.00261249	400.000000	0.0025821	400.000000	0.00257712	400.000000	0.00261185	400.000000	6.40152e-07	
410.000000	0.00263532	410.000000	0.00258243	410.000000	0.00255236	410.000000	0.00254743	410.000000	0.0025818	410.000000	6.25722e-07	
420.000000	0.00260486	420.000000	0.00255381	420.000000	0.00252421	420.000000	0.0025192	420.000000	0.0025532	420.000000	6.11951e-07	
430.000000	0.0025758	430.000000	0.00252655	430.000000	0.00249741	430.000000	0.00249232	430.000000	0.00252595	430.000000	5.98795e-07	
440.000000	0.00254805	440.000000	0.00250055	440.000000	0.00247178	440.000000	0.0024667	440.000000	0.00249996	440.000000	5.86213e-07	
450.000000	0.00252152	450.000000	0.00247573	450.000000	0.00244726	450.000000	0.00244226	450.000000	0.00247516	450.000000	5.74167e-07	
460.000000	0.00249615	460.000000	0.00245202	460.000000	0.00242386	460.000000	0.00241894	460.000000	0.00245146	460.000000	5.62624e-07	
470.000000	0.00247186	470.000000	0.00242934	470.000000	0.00240152	470.000000	0.00239664	470.000000	0.00242879	470.000000	5.51552e-07	
480.000000	0.00244859	480.000000	0.00240764	480.000000	0.00238014	480.000000	0.00237533	480.000000	0.0024071	480.000000	5.40924e-07	
490.000000	0.00242627	490.000000	0.00238686	490.000000	0.00235966	490.000000	0.00235492	490.000000	0.00238633	490.000000	5.30711e-07	
500.000000	0.00240486	500.000000	0.00236694	500.000000	0.00234009	500.000000	0.00233538	500.000000	0.00236642	500.000000	5.20891e-07	
520.000000	0.00236455	520.000000	0.0023295	520.000000	0.0023035	520.000000	0.00229869	520.000000	0.002329	520.000000	5.02339e-07	
540.000000	0.00232729	540.000000	0.00229497	540.000000	0.00226971	540.000000	0.00226488	540.000000	0.00229449	540.000000	4.85107e-07	
560.000000	0.00229278	560.000000	0.00226305	560.000000	0.00223839	560.000000	0.00223367	560.000000	0.00226258	560.000000	4.69058e-07	
580.000000	0.00226074	580.000000	0.00223347	580.000000	0.00220943	580.000000	0.00220478	580.000000	0.00223301	580.000000	4.54073e-07	
600.000000	0.00223094	600.000000	0.002206	600.000000	0.00218254	600.000000	0.00217799	600.000000	0.00220556	600.000000	4.40047e-07	
620.000000	0.00220318	620.000000	0.00218045	620.000000	0.00215758	620.000000	0.00215309	620.000000	0.00218003	620.000000	4.26891e-07	
640.000000	0.00217726	640.000000	0.00215665	640.000000	0.00213447	640.000000	0.0021299	640.000000	0.00215623	640.000000	4.14526e-07	
660.000000	0.00215304	660.000000	0.00213443	660.000000	0.00211291	660.000000	0.00210828	660.000000	0.00213403	660.000000	4.02881e-07	
680.000000	0.00213038	680.000000	0.00211366	680.000000	0.00209265	680.000000	0.00208807	680.000000	0.00211327	680.000000	3.91894e-07	
700.000000	0.00210913	700.000000	0.00209423	700.000000	0.00207368	700.000000	0.00206917	700.000000	0.00209384	700.000000	3.81511e-07	
720.000000	0.0020892	720.000000	0.00207601	720.000000	0.00205592	720.000000	0.00205146	720.000000	0.00207564	720.000000	3.71682e-07	
740.000000	0.00207049	740.000000	0.00205892	740.000000	0.00203939	740.000000	0.00203499	740.000000	0.00205856	740.000000	3.62364e-07	
760.000000	0.00205289	760.000000	0.00204288	760.000000	0.00202415	760.000000	0.00201981	760.000000	0.00204252	760.000000	3.53518e-07	
780.000000	0.00203634	780.000000	0.00202779	780.000000	0.00200985	780.000000	0.00200554	780.000000	0.00202744	780.000000	3.45108e-07	
800.000000	0.00202075	800.000000	0.00201359	800.000000	0.00199644	800.000000	0.0019921	800.000000	0.00201325	800.000000	3.37102e-07	
820.000000	0.00200606	820.000000	0.00200022	820.000000	0.00198384	820.000000	0.00197944	820.000000	0.00199989	820.000000	3.29472e-07	
840.000000	0.00199221	840.000000	0.00198762	840.000000	0.00197192	840.000000	0.00196749	840.000000	0.0019873	840.000000	3.22191e-07	
860.000000	0.00197914	860.000000	0.00197574	860.000000	0.00196062	860.000000	0.00195621	860.000000	0.00197543	860.000000	3.15236e-07	
880.000000	0.00196681	880.000000	0.00196453	880.000000	0.00194991	880.000000	0.00194555	880.000000	0.00196422	880.000000	3.08585e-07	
900.000000	0.00195516	900.000000	0.00195394	900.000000	0.00193978	900.000000	0.00193547	900.000000	0.00195364	900.000000	3.02218e-07	
920.000000	0.00194416	920.000000	0.00194394	920.000000	0.00193021	920.000000	0.00192593	920.000000	0.00194365	920.000000	2.96117e-07	
940.000000	0.00193377	940.000000	0.00193449	940.000000	0.00192114	940.000000	0.0019169	940.000000	0.0019342	940.000000	2.90267e-07	
960.000000	0.00192394	960.000000	0.00192556	960.000000	0.00191256	960.000000	0.00190834	960.000000	0.00192527	960.000000	2.8465e-07	
980.000000	0.00191466	980.000000	0.00191711	980.000000	0.00190442	980.000000	0.00190022	980.000000	0.00191683	980.000000	2.79255e-07	
1000.000000	0.00190588	1000.000000	0.00190911	1000.000000	0.00189669	1000.000000	0.00189251	1000.000000	0.00190884	1000.000000	2.74067e-07	
1020.000000	0.00189757	1020.000000	0.00190155	1020.000000	0.00188935	1020.000000	0.0018852	1020.000000	0.00190128	1020.000000	2.69074e-07	
1040.000000	0.00188973	1040.000000	0.00189439	1040.000000	0.00188237	1040.000000	0.00187826	1040.000000	0.00189413	1040.000000	2.64267e-07	
1060.000000	0.00188231	1060.000000	0.00188762	1060.000000	0.00187573	1060.000000	0.00187166	1060.000000	0.00188736	1060.000000	2.59634e-07	
1080.000000	0.0018753	1080.000000	0.00188121	1080.000000	0.00186943	1080.000000	0.00186538	1080.000000	0.00188096	1080.000000	2.55166e-07	
1100.000000	0.00186867	1100.000000	0.00187514	1100.000000	0.00186345	1100.000000	0.00185942	1100.000000	0.00187489	1100.000000	2.50854e-07	
1120.000000	0.00186241	1120.000000	0.0018694	1120.000000	0.00185778	1120.000000	0.00185374	1120.000000	0.00186916	1120.000000	2.46691e-07	
1140.000000	0.0018565	1140.000000	0.00186397	1140.000000	0.00185241	1140.000000	0.00184834	1140.000000	0.00186373	1140.000000	2.42668e-07	
1160.000000	0.00185092	1160.000000	0.00185883	1160.000000	0.00184729	1160.000000	0.00184319	1160.000000	0.00185859	1160.000000	2.38779e-07	
1180.000000	0.00184566	1180.000000	0.00185397	1180.000000	0.00184242	1180.000000	0.0018383	1180.000000	0.00185373	1180.000000	2.35016e-07	
1200.000000	0.0018407	1200.000000	0.00184937	1200.000000	0.00183777	1200.000000	0.00183363	1200.000000	0.00184914	1200.000000	2.31374e-07	
1220.000000	0.00183602	1220.000000	0.00184502	1220.000000	0.00183333	1220.000000	0.00182919	1220.000000	0.0018448	1220.000000	2.27848e-07	
1240.000000	0.00183162	1240.000000	0.00184092	1240.000000	0.00182908	1240.000000	0.00182495	1240.000000	0.00184069	1240.000000	2.2443e-07	
