Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
33.000000	0.0256821	33.000000	0.0169047	33.000000	0.0167477	33.000000	0.0167376	33.000000	0.0168981	33.000000	6.64674e-06	
35.000000	0.0244898	35.000000	0.0161703	35.000000	0.0160296	35.000000	0.01602	35.000000	0.016164	35.000000	6.30797e-06	
38.000000	0.02292	38.000000	0.0151959	38.000000	0.0150799	38.000000	0.0150687	38.000000	0.0151901	38.000000	5.86282e-06	
41.000000	0.0215641	41.000000	0.0143477	41.000000	0.0142522	41.000000	0.0142408	41.000000	0.0143422	41.000000	5.47908e-06	
44.000000	0.0203804	44.000000	0.0136022	44.000000	0.0135231	44.000000	0.0135129	44.000000	0.0135971	44.000000	5.1447e-06	
47.000000	0.0193374	47.000000	0.0129419	47.000000	0.0128792	47.000000	0.0128677	47.000000	0.012937	47.000000	4.85058e-06	
50.000000	0.018411	50.000000	0.0123527	50.000000	0.0123031	50.000000	0.0122915	50.000000	0.0123481	50.000000	4.58976e-06	
55.000000	0.0170766	55.000000	0.0114997	55.000000	0.0114687	55.000000	0.0114561	55.000000	0.0114955	55.000000	4.21482e-06	
60.000000	0.01595	60.000000	0.010776	60.000000	0.0107574	60.000000	0.0107458	60.000000	0.0107721	60.000000	3.89899e-06	
65.000000	0.0149852	65.000000	0.010154	65.000000	0.0101459	65.000000	0.0101339	65.000000	0.0101504	65.000000	3.62914e-06	
70.000000	0.0141491	70.000000	0.00961335	70.000000	0.00961311	70.000000	0.00960102	70.000000	0.00960995	70.000000	3.39576e-06	
75.000000	0.013417	75.000000	0.00913898	75.000000	0.00914356	75.000000	0.00913243	75.000000	0.00913579	75.000000	3.19184e-06	
80.000000	0.0127703	80.000000	0.00871928	80.000000	0.00872911	80.000000	0.00871701	80.000000	0.00871627	80.000000	3.01205e-06	
85.000000	0.0121946	85.000000	0.00834523	85.000000	0.00835753	85.000000	0.00834605	85.000000	0.00834237	85.000000	2.85228e-06	
90.000000	0.0116785	90.000000	0.00800968	90.000000	0.00802365	90.000000	0.00801267	90.000000	0.00800697	90.000000	2.70933e-06	
95.000000	0.0112131	95.000000	0.00770693	95.000000	0.00772312	95.000000	0.00771137	95.000000	0.00770435	95.000000	2.58063e-06	
100.000000	0.010791	100.000000	0.00743235	100.000000	0.0074489	100.000000	0.00743766	100.000000	0.00742989	100.000000	2.46412e-06	
105.000000	0.0104063	105.000000	0.00718215	105.000000	0.00719866	105.000000	0.00718788	105.000000	0.00717979	105.000000	2.35813e-06	
110.000000	0.0100542	110.000000	0.00695319	110.000000	0.00696923	110.000000	0.00695898	110.000000	0.00695093	110.000000	2.26126e-06	
115.000000	0.00973062	115.000000	0.00674286	115.000000	0.00675906	115.000000	0.00674844	115.000000	0.00674069	115.000000	2.17239e-06	
120.000000	0.00943209	120.000000	0.00654895	120.000000	0.00656493	120.000000	0.00655409	120.000000	0.00654686	120.000000	2.09053e-06	
125.000000	0.00915577	125.000000	0.0063696	125.000000	0.00638442	125.000000	0.00637414	125.000000	0.00636759	125.000000	2.01488e-06	
130.000000	0.0088992	130.000000	0.00620321	130.000000	0.006217	130.000000	0.00620702	130.000000	0.00620127	130.000000	1.94475e-06	
135.000000	0.0086603	135.000000	0.00604843	135.000000	0.00606183	135.000000	0.0060514	135.000000	0.00604655	135.000000	1.87955e-06	
140.000000	0.00843723	140.000000	0.00590406	140.000000	0.0059166	140.000000	0.00590613	140.000000	0.00590224	140.000000	1.81877e-06	
145.000000	0.00822845	145.000000	0.00576909	145.000000	0.00578028	145.000000	0.00577021	145.000000	0.00576733	145.000000	1.76196e-06	
150.000000	0.00803259	150.000000	0.00564262	150.000000	0.00565257	150.000000	0.00564275	150.000000	0.00564091	150.000000	1.70875e-06	
155.000000	0.00775682	155.000000	0.00552387	155.000000	0.00553247	155.000000	0.00552299	155.000000	0.00552221	155.000000	1.65879e-06	
160.000000	0.00759517	160.000000	0.00541215	160.000000	0.00541965	160.000000	0.00541025	160.000000	0.00541054	160.000000	1.6118e-06	
165.000000	0.00744274	165.000000	0.00530686	165.000000	0.00531368	165.000000	0.00530393	165.000000	0.00530529	165.000000	1.56751e-06	
170.000000	0.00729875	170.000000	0.00520744	170.000000	0.00521328	170.000000	0.00520349	170.000000	0.00520592	170.000000	1.52569e-06	
175.000000	0.0071625	175.000000	0.00511343	175.000000	0.00511796	175.000000	0.00510847	175.000000	0.00511194	175.000000	1.48615e-06	
180.000000	0.00703339	180.000000	0.00502439	180.000000	0.00502773	180.000000	0.00501844	180.000000	0.00502294	180.000000	1.44869e-06	
185.000000	0.00691084	185.000000	0.00493993	185.000000	0.00494209	185.000000	0.00493301	185.000000	0.00493852	185.000000	1.41315e-06	
190.000000	0.00679438	190.000000	0.00485972	190.000000	0.00486069	190.000000	0.00485185	190.000000	0.00485834	190.000000	1.37939e-06	
195.000000	0.00668355	195.000000	0.00478343	195.000000	0.00478352	195.000000	0.00477464	195.000000	0.00478209	195.000000	1.34727e-06	
200.000000	0.00657795	200.000000	0.0047108	200.000000	0.00471026	200.000000	0.00470111	200.000000	0.00470948	200.000000	1.31668e-06	
210.000000	0.006381	210.000000	0.00457547	210.000000	0.00457305	210.000000	0.00456407	210.000000	0.00457421	210.000000	1.25965e-06	
220.000000	0.006201	220.000000	0.00445196	220.000000	0.00444763	220.000000	0.00443896	220.000000	0.00445075	220.000000	1.20756e-06	
230.000000	0.00603584	230.000000	0.00433878	230.000000	0.00433264	230.000000	0.00432431	230.000000	0.00433762	230.000000	1.15978e-06	
240.000000	0.00588373	240.000000	0.00423471	240.000000	0.00422743	240.000000	0.00421887	240.000000	0.00423359	240.000000	1.11578e-06	
250.000000	0.00574319	250.000000	0.00413869	250.000000	0.00413018	250.000000	0.00412161	250.000000	0.00413761	250.000000	1.07514e-06	
260.000000	0.00561293	260.000000	0.00404982	260.000000	0.00403989	260.000000	0.0040316	260.000000	0.00404878	260.000000	1.03747e-06	
270.000000	0.00549187	270.000000	0.00396735	270.000000	0.00395617	270.000000	0.0039481	270.000000	0.00396635	270.000000	1.00246e-06	
280.000000	0.00537906	280.000000	0.00389061	280.000000	0.0038783	280.000000	0.00387044	280.000000	0.00388964	280.000000	9.69827e-07	
290.000000	0.00527369	290.000000	0.00381904	290.000000	0.00380613	290.000000	0.00379803	290.000000	0.0038181	290.000000	9.39339e-07	
300.000000	0.00517506	300.000000	0.00375214	300.000000	0.00373851	300.000000	0.00373038	300.000000	0.00375123	300.000000	9.10787e-07	
310.000000	0.00508253	310.000000	0.00368947	310.000000	0.00367495	310.000000	0.00366705	310.000000	0.00368858	310.000000	8.83989e-07	
320.000000	0.00499556	320.000000	0.00363065	320.000000	0.0036154	320.000000	0.00360765	320.000000	0.00362979	320.000000	8.58787e-07	
330.000000	0.00491368	330.000000	0.00357534	330.000000	0.00355939	330.000000	0.00355184	330.000000	0.0035745	330.000000	8.3504e-07	
340.000000	0.00483645	340.000000	0.00352325	340.000000	0.00350679	340.000000	0.00349931	340.000000	0.00352243	340.000000	8.12624e-07	
