Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
105.000000	0.00535591	105.000000	0.00529279	105.000000	0.00521253	105.000000	0.00520587	105.000000	0.00529079	105.000000	1.9984e-06	
110.000000	0.00517469	110.000000	0.0051179	110.000000	0.00504026	110.000000	0.00503394	110.000000	0.00511599	110.000000	1.91521e-06	
115.000000	0.00500814	115.000000	0.00495743	115.000000	0.00488258	115.000000	0.00487603	115.000000	0.00495559	115.000000	1.83892e-06	
120.000000	0.00485449	120.000000	0.00480964	120.000000	0.00473718	120.000000	0.00473049	120.000000	0.00480787	120.000000	1.76871e-06	
125.000000	0.00471228	125.000000	0.00467308	125.000000	0.00460226	125.000000	0.00459592	125.000000	0.00467138	125.000000	1.70386e-06	
130.000000	0.00458023	130.000000	0.00454651	130.000000	0.00447726	130.000000	0.0044711	130.000000	0.00454486	130.000000	1.64378e-06	
135.000000	0.00445727	135.000000	0.00442885	135.000000	0.00436144	135.000000	0.00435501	135.000000	0.00442726	135.000000	1.58795e-06	
140.000000	0.00434246	140.000000	0.0043192	140.000000	0.00425321	140.000000	0.00424676	140.000000	0.00431766	140.000000	1.53593e-06	
145.000000	0.00423501	145.000000	0.00421676	145.000000	0.00415179	145.000000	0.00414558	145.000000	0.00421527	145.000000	1.48734e-06	
150.000000	0.0041342	150.000000	0.00412083	150.000000	0.00405685	150.000000	0.00405079	150.000000	0.00411939	150.000000	1.44185e-06	
155.000000	0.00399227	155.000000	0.00403081	155.000000	0.00396766	155.000000	0.00396181	155.000000	0.00402942	155.000000	1.39916e-06	
160.000000	0.00390907	160.000000	0.00394618	160.000000	0.00388392	160.000000	0.00387812	160.000000	0.00394482	160.000000	1.35902e-06	
165.000000	0.00383062	165.000000	0.00386645	165.000000	0.00380528	165.000000	0.00379926	165.000000	0.00386513	165.000000	1.32121e-06	
170.000000	0.00375651	170.000000	0.00379121	170.000000	0.00373086	170.000000	0.00372482	170.000000	0.00378992	170.000000	1.28552e-06	
175.000000	0.00368639	175.000000	0.00372009	175.000000	0.0036603	175.000000	0.00365445	175.000000	0.00371884	175.000000	1.25179e-06	
